WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000085079 0 1 0 0 0 0 0 0
ENSMUSG00000085679 0 0 0 0 0 0 0 0
ENSMUSG00000028033 566 566 69 93 10 12 1 4
ENSMUSG00000082935 2652 2195 2088 1874 61 44 37 37
ENSMUSG00000085163 6 6 0 2 4 7 0 2
ENSMUSG00000041670 0 0 0 0 0 0 0 0
ENSMUSG00000073730 0 0 0 0 0 0 0 0
ENSMUSG00000089553 0 0 0 0 0 0 0 0
ENSMUSG00000073729 0 0 0 0 0 0 0 0
ENSMUSG00000065405 0 0 0 0 0 0 0 0
ENSMUSG00000065567 0 0 0 0 0 0 0 0
ENSMUSG00000026158 4897 5165 3721 4448 80 83 68 107
ENSMUSG00000026156 42 51 16 32 0 3 3 1
ENSMUSG00000026155 1281 1259 1170 1254 45 26 22 41
ENSMUSG00000026154 543 405 566 326 9 6 5 3
ENSMUSG00000026153 283 286 172 175 3 12 6 8
ENSMUSG00000026147 0 0 0 0 0 0 0 0
ENSMUSG00000026141 0 0 0 0 0 0 0 0
ENSMUSG00000077463 0 0 0 0 0 0 0 0
ENSMUSG00000067736 35 3 4 11 0 0 0 0
ENSMUSG00000090378 13 5 13 7 0 0 0 0
ENSMUSG00000073725 1221 1307 1334 1414 43 34 36 49
ENSMUSG00000033569 0 0 0 0 0 0 0 0
ENSMUSG00000080849 0 0 0 0 0 0 0 0
ENSMUSG00000064910 0 0 0 0 0 0 0 0
ENSMUSG00000084740 0 0 0 0 0 0 0 0
ENSMUSG00000052558 0 0 0 0 0 0 0 0
ENSMUSG00000088111 0 0 0 0 0 0 0 0
ENSMUSG00000073722 0 6 0 0 0 0 0 0
ENSMUSG00000065125 0 0 0 0 0 0 0 0
ENSMUSG00000079640 0 0 0 0 0 0 0 0
ENSMUSG00000086240 327 137 277 190 2 1 2 2
ENSMUSG00000048411 0 0 0 0 0 0 0 0
ENSMUSG00000081557 34 16 16 11 1 1 0 0
ENSMUSG00000090766 1 0 0 0 0 0 0 0
ENSMUSG00000058590 0 0 0 0 0 0 0 0
ENSMUSG00000064433 0 0 0 0 0 0 0 0
ENSMUSG00000093777 0 0 0 0 0 0 0 0
ENSMUSG00000080625 0 0 0 0 0 0 0 0
ENSMUSG00000080391 0 0 0 0 0 0 0 0
ENSMUSG00000077073 0 0 0 0 0 0 0 0
ENSMUSG00000053185 0 0 0 0 0 0 0 0
ENSMUSG00000048874 5583 7195 5484 7643 174 158 161 241
ENSMUSG00000026064 728 663 646 574 40 33 24 48
ENSMUSG00000086151 0 0 0 0 0 0 0 0
ENSMUSG00000086726 0 0 0 0 0 0 0 0
ENSMUSG00000087346 0 0 0 0 0 0 1 0
ENSMUSG00000086727 0 2 0 0 0 0 0 0
ENSMUSG00000050217 0 0 0 0 0 0 0 0
ENSMUSG00000026063 0 0 0 0 0 0 0 0
ENSMUSG00000077664 0 0 0 0 0 0 0 0
ENSMUSG00000070960 430 330 275 223 10 3 4 6
ENSMUSG00000088620 0 0 0 0 0 0 0 0
ENSMUSG00000082159 0 0 0 0 0 0 0 0
ENSMUSG00000026058 0 0 9 2 0 0 0 0
ENSMUSG00000064688 0 0 0 0 0 0 0 0
ENSMUSG00000049830 0 0 0 0 0 0 0 0
ENSMUSG00000091318 0 0 0 0 0 0 0 0
ENSMUSG00000089489 0 0 0 0 0 0 0 0
ENSMUSG00000089395 0 0 0 0 0 0 0 0
ENSMUSG00000088750 0 0 0 0 0 0 0 0
ENSMUSG00000065223 0 0 0 0 0 0 0 0
ENSMUSG00000065260 0 0 0 0 0 0 0 0
ENSMUSG00000026134 2257 1711 1921 1659 39 31 40 30
ENSMUSG00000044744 33 34 27 60 0 1 1 4
ENSMUSG00000004768 633 741 596 545 22 16 7 15
ENSMUSG00000042215 1400 1102 771 779 33 27 23 16
ENSMUSG00000042197 3898 4691 3614 4280 102 118 105 123
ENSMUSG00000081402 495 408 343 430 23 10 6 12
ENSMUSG00000042182 39 2 0 6 1 0 0 1
ENSMUSG00000026131 4095 7527 2722 5127 203 235 133 233
ENSMUSG00000084506 0 0 0 0 0 0 0 0
ENSMUSG00000085306 2 1 0 8 0 0 0 0
ENSMUSG00000079617 0 0 0 0 0 0 0 0
ENSMUSG00000092852 1 24 8 60 0 0 1 0
ENSMUSG00000042111 1710 1423 1324 1201 17 23 15 27
ENSMUSG00000026127 2946 2866 2441 2664 56 56 50 85
ENSMUSG00000026126 3900 3737 3710 3236 74 62 75 100
ENSMUSG00000026125 6 12 8 23 0 0 0 0
ENSMUSG00000026124 10 1 0 0 2 0 0 0
ENSMUSG00000037529 8 2 0 0 0 0 0 0
ENSMUSG00000045815 0 0 0 0 0 0 0 0
ENSMUSG00000045174 0 0 0 0 0 0 0 0
ENSMUSG00000089955 0 0 0 0 0 0 0 0
ENSMUSG00000037509 691 565 376 500 7 29 17 16
ENSMUSG00000046858 0 0 0 0 0 0 0 0
ENSMUSG00000037503 14124 15214 13927 14267 253 221 246 338
ENSMUSG00000026123 2654 3136 3101 3044 85 63 65 85
ENSMUSG00000077231 0 0 0 0 0 0 0 0
ENSMUSG00000064601 0 0 0 0 0 0 0 0
ENSMUSG00000045216 3156 3366 3180 3614 95 86 84 107
ENSMUSG00000037470 5795 5986 5663 6206 150 110 175 201
ENSMUSG00000047180 3950 3944 5669 5647 63 75 86 155
ENSMUSG00000037447 2292 2742 2893 4025 58 88 82 145
ENSMUSG00000010453 4826 5481 4291 5770 104 108 94 133
ENSMUSG00000037432 395 324 360 428 6 8 5 6
ENSMUSG00000001143 1843 1837 1496 1836 48 59 48 50
ENSMUSG00000037408 1491 1552 1351 1423 47 59 29 43
ENSMUSG00000001138 3074 3202 3269 3636 73 104 73 101
ENSMUSG00000067653 494 476 576 618 20 8 10 16
ENSMUSG00000079610 688 580 558 660 16 18 11 28
ENSMUSG00000026121 554 616 520 601 11 15 9 13
ENSMUSG00000087589 3 0 0 0 0 0 0 0
ENSMUSG00000046337 0 0 0 4 0 0 0 0
ENSMUSG00000089906 0 0 2 9 1 0 1 0
ENSMUSG00000077939 0 0 0 0 0 0 0 0
ENSMUSG00000061518 343 284 310 236 12 11 7 6
ENSMUSG00000037351 3268 3819 2850 3437 68 71 55 70
ENSMUSG00000026117 35 12 27 22 0 1 0 0
ENSMUSG00000026116 5171 5921 4904 5491 102 131 124 173
ENSMUSG00000080054 4 4 4 1 0 0 0 0
ENSMUSG00000070201 9 0 0 10 0 0 0 0
ENSMUSG00000050122 4 0 0 0 0 0 0 0
ENSMUSG00000026115 0 0 0 0 0 0 0 0
ENSMUSG00000026114 0 0 9 0 0 0 0 0
ENSMUSG00000026113 998 1366 1263 1767 34 51 44 74
ENSMUSG00000086064 2 3 0 1 0 1 1 1
ENSMUSG00000026112 6199 5603 5437 5083 105 74 87 86
ENSMUSG00000026111 1786 1654 1760 1683 38 24 26 36
ENSMUSG00000026110 1628 1971 1309 1624 38 51 43 42
ENSMUSG00000087233 28 20 29 57 2 3 6 7
ENSMUSG00000026090 36 38 10 3 0 0 0 0
ENSMUSG00000089767 0 0 0 0 0 0 0 0
ENSMUSG00000060771 372 317 317 478 5 6 5 14
ENSMUSG00000092106 13 0 0 0 1 1 0 0
ENSMUSG00000037216 277 271 231 176 6 10 4 6
ENSMUSG00000026088 839 821 873 756 13 21 12 15
