WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000046818 172 187 196 225 23 15 8 15
ENSMUSG00000064460 0 0 0 0 0 0 0 0
ENSMUSG00000037894 1591 1786 2174 2488 35 36 43 71
ENSMUSG00000074212 1344 1454 1181 1520 35 34 33 39
ENSMUSG00000081829 3 3 2 8 0 0 0 0
ENSMUSG00000088932 0 0 0 0 0 0 0 0
ENSMUSG00000091512 729 676 715 694 22 21 10 13
ENSMUSG00000028159 14463 14376 15667 19289 235 244 317 435
ENSMUSG00000049349 0 0 0 0 0 0 0 0
ENSMUSG00000090066 0 0 7 0 1 0 0 0
ENSMUSG00000028158 88 132 56 115 2 2 4 6
ENSMUSG00000004127 680 530 543 568 13 16 12 19
ENSMUSG00000012042 0 0 0 0 0 0 0 0
ENSMUSG00000055301 124 110 121 113 8 1 5 8
ENSMUSG00000074207 0 8 4 0 0 0 0 0
ENSMUSG00000089635 0 0 0 0 0 0 0 0
ENSMUSG00000053054 0 0 0 2 0 0 0 0
ENSMUSG00000087752 0 0 0 0 0 0 0 0
ENSMUSG00000074206 0 0 0 0 0 0 0 0
ENSMUSG00000090306 0 0 0 0 0 0 0 0
ENSMUSG00000037797 0 0 0 0 0 0 0 0
ENSMUSG00000028138 5638 4745 5169 3865 101 88 78 99
ENSMUSG00000005813 2635 2529 2389 2200 60 41 33 57
ENSMUSG00000028156 2704 1968 1999 1545 57 21 42 45
ENSMUSG00000088373 0 0 0 0 0 0 0 1
ENSMUSG00000028152 1819 1834 2228 2170 55 39 34 76
ENSMUSG00000086123 2 2 8 6 0 1 1 0
ENSMUSG00000028149 3425 3368 2883 3153 56 53 53 83
ENSMUSG00000090801 0 0 0 0 0 0 0 0
ENSMUSG00000047940 0 3 0 0 0 0 0 0
ENSMUSG00000065675 0 0 0 0 0 0 0 0
ENSMUSG00000047674 0 0 0 0 0 0 0 0
ENSMUSG00000089737 0 0 0 0 0 0 0 0
ENSMUSG00000059921 0 18 6 9 0 0 0 0
ENSMUSG00000089924 0 0 0 0 0 0 0 0
ENSMUSG00000052430 0 5 0 0 0 0 0 0
ENSMUSG00000028273 1083 1173 1416 1301 32 30 30 31
ENSMUSG00000040264 978 1403 891 898 16 25 17 19
ENSMUSG00000040253 3255 4030 3220 3943 54 63 65 88
ENSMUSG00000028268 1160 1081 984 737 18 11 13 14
ENSMUSG00000028269 287 0 202 0 6 0 6 0
ENSMUSG00000028270 1392 1426 1413 1362 20 20 22 21
ENSMUSG00000040213 786 779 665 593 8 6 11 11
ENSMUSG00000086561 3 11 9 0 0 0 0 0
ENSMUSG00000028271 1796 1556 1797 1723 48 36 36 30
ENSMUSG00000065130 0 11 3 5 0 0 2 1
ENSMUSG00000004591 3005 3540 2660 3591 95 93 80 119
ENSMUSG00000087795 17 21 20 28 1 0 0 0
ENSMUSG00000090913 117 74 48 109 1 5 4 6
ENSMUSG00000078162 12 13 21 21 2 1 0 0
ENSMUSG00000088851 0 0 0 0 0 0 0 0
ENSMUSG00000028266 3248 3172 2582 2729 94 68 59 72
ENSMUSG00000040151 2299 2022 1702 1695 54 59 38 52
ENSMUSG00000037072 7660 6582 7649 5701 115 139 97 99
ENSMUSG00000064960 0 0 9 0 0 1 1 0
ENSMUSG00000037062 3641 4137 3862 3974 96 87 75 94
ENSMUSG00000056025 219 399 2257 2513 8 7 29 49
ENSMUSG00000028262 0 0 0 0 0 0 0 0
ENSMUSG00000037033 0 6 8 0 1 0 0 1
ENSMUSG00000089950 0 0 0 0 0 0 0 0
ENSMUSG00000074196 0 0 0 0 0 0 0 0
ENSMUSG00000074195 0 0 0 0 0 0 0 0
ENSMUSG00000085773 0 0 0 0 0 0 0 0
ENSMUSG00000068547 0 0 0 0 0 0 0 0
ENSMUSG00000028255 4 0 0 0 0 0 0 0
ENSMUSG00000036960 5 0 0 0 0 0 0 0
ENSMUSG00000028256 455 688 518 556 10 11 11 9
ENSMUSG00000028197 3 3 0 0 0 0 0 0
ENSMUSG00000074182 1309 1121 1015 1043 21 27 27 26
ENSMUSG00000028195 379 448 555 614 49 27 37 30
ENSMUSG00000090771 0 0 0 0 0 0 0 0
ENSMUSG00000028194 417 362 481 563 36 30 25 20
ENSMUSG00000028191 1629 1798 1670 1684 28 27 29 40
ENSMUSG00000036873 941 730 829 728 18 24 14 22
ENSMUSG00000036863 1052 1212 296 562 50 34 9 27
ENSMUSG00000043020 0 0 0 0 0 0 0 0
ENSMUSG00000065937 0 0 0 0 0 0 0 0
ENSMUSG00000036853 179 204 21 12 0 3 0 0
ENSMUSG00000011008 921 1039 182 220 16 18 4 4
ENSMUSG00000036832 0 1 0 0 0 0 0 0
ENSMUSG00000088218 0 0 0 0 0 0 0 0
ENSMUSG00000077892 0 0 0 0 0 0 0 0
ENSMUSG00000036825 1601 1249 715 619 25 29 12 21
ENSMUSG00000028185 0 2 0 0 0 0 0 0
ENSMUSG00000028189 251 270 280 231 2 6 4 7
ENSMUSG00000028188 154 222 138 186 6 3 3 1
ENSMUSG00000068523 542 440 543 393 12 15 8 19
ENSMUSG00000028187 1623 1501 1528 1441 31 35 22 49
ENSMUSG00000028186 0 0 0 0 0 0 0 0
ENSMUSG00000085810 6 6 0 0 0 0 0 0
ENSMUSG00000090202 0 1 0 0 0 0 0 0
ENSMUSG00000048652 35 7 11 9 1 0 1 0
ENSMUSG00000005034 8782 9616 8032 8933 193 176 160 195
ENSMUSG00000070343 15480 11236 13045 9718 245 244 214 279
ENSMUSG00000036745 149 243 185 110 10 4 4 9
ENSMUSG00000077441 0 0 0 0 0 0 0 0
ENSMUSG00000028184 3314 4712 1082 1427 115 146 34 50
ENSMUSG00000065270 0 0 0 0 0 0 0 0
ENSMUSG00000053583 0 0 0 0 0 0 0 0
ENSMUSG00000070342 3 0 0 0 0 0 0 0
ENSMUSG00000089269 0 0 0 0 0 0 0 0
ENSMUSG00000047676 24915 22108 22640 19614 414 401 420 525
ENSMUSG00000092830 0 0 0 0 0 0 0 0
ENSMUSG00000039167 17216 17137 19254 20971 303 317 377 528
ENSMUSG00000065138 0 0 0 0 0 0 0 0
ENSMUSG00000028037 691 486 973 303 11 5 15 8
ENSMUSG00000039146 116 0 53 0 2 0 0 0
ENSMUSG00000028036 0 0 0 0 1 0 0 0
ENSMUSG00000087997 0 0 0 0 0 0 0 0
ENSMUSG00000039131 1 0 52 23 0 0 1 0
ENSMUSG00000084343 0 0 0 0 0 0 0 0
ENSMUSG00000028035 1387 1306 1444 1707 29 41 37 49
ENSMUSG00000028034 8665 9605 8654 10014 168 183 187 222
ENSMUSG00000039103 35 81 63 71 2 0 5 3
ENSMUSG00000054942 1924 2233 1590 1921 37 28 39 37
ENSMUSG00000025437 2078 2439 2423 3085 38 39 41 56
ENSMUSG00000039068 4028 4399 3304 4192 84 97 86 131
ENSMUSG00000039058 25 30 23 25 4 1 3 0
ENSMUSG00000085901 0 0 0 0 0 0 0 0
ENSMUSG00000039047 2306 2439 2434 2408 60 41 52 53
ENSMUSG00000090095 0 4 16 4 2 3 0 0
ENSMUSG00000039037 58 48 10 32 2 1 0 3
ENSMUSG00000090040 0 0 0 0 0 0 0 0
ENSMUSG00000090017 2 9 13 46 0 1 2 1
ENSMUSG00000090163 0 2 0 0 0 0 0 0
ENSMUSG00000052544 97 151 122 168 5 8 7 7
ENSMUSG00000089376 3 7 0 4 0 2 3 4
ENSMUSG00000089237 0 2 0 2 0 1 0 0
ENSMUSG00000058508 0 0 0 0 0 0 0 0
ENSMUSG00000062046 7 4 6 26 0 0 0 1
ENSMUSG00000077174 0 0 0 0 0 0 0 0
ENSMUSG00000038997 7 15 0 18 1 0 1 0
ENSMUSG00000086438 22 11 0 0 1 0 0 0
ENSMUSG00000005493 5 6 11 0 2 0 2 1
ENSMUSG00000088764 0 0 0 0 0 0 0 0
ENSMUSG00000093463 0 0 0 0 0 0 0 0
ENSMUSG00000038975 2867 2647 2064 2088 50 43 32 50
ENSMUSG00000064731 28 54 10 37 0 0 0 1
ENSMUSG00000065738 40 93 35 113 5 0 1 2
ENSMUSG00000065463 0 0 0 0 0 0 0 0
ENSMUSG00000062908 4068 4066 3035 3552 81 86 53 81
ENSMUSG00000028360 0 0 0 0 0 0 0 0
ENSMUSG00000090114 7 3 9 0 0 0 0 0
ENSMUSG00000093486 0 0 0 0 0 0 0 0
ENSMUSG00000028201 0 0 0 0 0 0 0 0
ENSMUSG00000093738 0 0 0 0 0 0 0 0
ENSMUSG00000047583 388 359 281 315 10 7 1 8
ENSMUSG00000028199 719 592 638 513 20 21 9 12
ENSMUSG00000042943 0 0 0 0 0 0 0 0
ENSMUSG00000092522 0 0 0 0 0 0 0 0
ENSMUSG00000078161 3 0 0 0 0 0 0 0
ENSMUSG00000040086 0 0 0 0 0 0 0 0
ENSMUSG00000053870 538 524 371 496 9 9 9 10
ENSMUSG00000064765 0 0 3 9 0 1 0 0
ENSMUSG00000028182 18 1 14 19 0 1 0 2
ENSMUSG00000065807 0 0 0 0 0 0 0 0
ENSMUSG00000085084 0 0 0 0 0 0 0 0
ENSMUSG00000040037 0 0 0 0 0 0 0 0
ENSMUSG00000083122 0 0 0 0 0 0 0 0
ENSMUSG00000086708 0 0 0 0 0 0 0 0
ENSMUSG00000093095 0 0 0 0 0 0 0 0
ENSMUSG00000054773 0 0 0 0 0 0 0 0
ENSMUSG00000077581 0 0 0 0 0 0 0 0
ENSMUSG00000065172 0 0 0 0 0 0 0 0
ENSMUSG00000064510 0 0 0 0 0 0 0 0
ENSMUSG00000064557 0 0 0 0 0 0 0 0
ENSMUSG00000028180 4388 4757 3896 4830 83 78 75 100
ENSMUSG00000065431 21 30 30 25 1 2 0 1
ENSMUSG00000040016 1167 1314 1610 1903 37 38 34 56
ENSMUSG00000028179 49 59 102 65 9 4 3 1
ENSMUSG00000028177 9 0 0 0 0 0 0 0
ENSMUSG00000039988 1639 1689 1477 1702 47 54 31 50
ENSMUSG00000055436 9133 9381 7949 8990 161 151 155 248
ENSMUSG00000063052 1513 1486 1365 1265 40 18 20 25
ENSMUSG00000028176 0 0 0 0 0 0 0 0
ENSMUSG00000028175 266 162 277 204 5 2 6 3
ENSMUSG00000028174 0 0 0 0 0 0 0 0
ENSMUSG00000028173 3841 3340 3151 2344 70 57 63 50
ENSMUSG00000075903 0 4 0 0 0 0 0 1
ENSMUSG00000081279 0 0 0 0 0 0 0 0
ENSMUSG00000083742 0 0 0 0 0 0 0 0
ENSMUSG00000078367 0 0 0 0 0 0 0 0
ENSMUSG00000078366 0 0 0 0 0 0 0 0
ENSMUSG00000085180 0 2 6 7 0 0 0 0
ENSMUSG00000081165 0 0 0 1 0 0 0 0
ENSMUSG00000083632 0 0 0 0 0 0 0 0
ENSMUSG00000083489 0 7 0 5 0 0 2 0
ENSMUSG00000081711 0 0 0 0 0 0 0 0
ENSMUSG00000081660 0 0 0 0 1 0 0 0
ENSMUSG00000092930 0 5 0 0 0 1 0 0
ENSMUSG00000028232 709 613 692 885 11 12 16 13
ENSMUSG00000028233 2536 2471 2750 2529 64 46 68 67
ENSMUSG00000088790 0 0 0 0 0 0 0 0
ENSMUSG00000085394 0 2 0 0 0 0 0 0
ENSMUSG00000042228 2392 2259 3853 3954 36 46 70 89
ENSMUSG00000091559 61 36 71 111 13 10 22 34
ENSMUSG00000083186 52 71 30 42 8 0 0 4
ENSMUSG00000077271 6 4 9 18 0 0 1 2
ENSMUSG00000055216 8 15 43 9 0 1 3 2
ENSMUSG00000028234 14868 11782 12724 10134 299 269 271 316
ENSMUSG00000088351 0 0 0 0 0 0 0 0
ENSMUSG00000077293 0 0 0 0 0 0 0 0
ENSMUSG00000078365 0 0 0 0 0 0 0 0
ENSMUSG00000003282 662 771 611 943 9 22 21 30
ENSMUSG00000042198 1456 1351 1490 1447 20 17 33 33
ENSMUSG00000068240 17879 15157 15636 14347 320 337 260 381
ENSMUSG00000082991 0 0 0 0 0 0 0 0
ENSMUSG00000028236 0 0 0 0 0 0 0 0
ENSMUSG00000071019 0 0 0 0 0 0 0 0
ENSMUSG00000081190 0 0 0 0 0 0 0 0
ENSMUSG00000045573 0 4 0 0 0 0 0 0
ENSMUSG00000085996 0 0 0 0 0 0 0 0
ENSMUSG00000085155 0 0 0 0 0 0 0 0
ENSMUSG00000077444 0 0 0 0 0 0 0 0
ENSMUSG00000066324 4222 4296 3510 3532 99 73 61 87
ENSMUSG00000083228 0 0 0 0 0 0 0 0
ENSMUSG00000087099 0 0 0 0 0 0 0 0
ENSMUSG00000084237 0 0 0 0 0 0 0 0
ENSMUSG00000086066 0 0 0 0 0 0 0 0
ENSMUSG00000049119 537 584 382 407 17 17 11 13
ENSMUSG00000077392 0 0 0 0 0 0 1 0
ENSMUSG00000083232 0 0 0 0 0 0 0 0
ENSMUSG00000084360 0 0 0 0 1 0 0 0
ENSMUSG00000028243 1004 1122 623 877 17 20 18 18
ENSMUSG00000080961 0 0 0 0 0 0 0 0
ENSMUSG00000028240 0 0 0 0 0 0 0 0
ENSMUSG00000085295 2 12 5 8 0 0 0 0
ENSMUSG00000028249 10570 9137 12761 11446 200 152 175 232
ENSMUSG00000028245 5013 5875 3926 5377 112 117 79 149
ENSMUSG00000058945 35 45 61 64 5 1 8 11
ENSMUSG00000081913 0 0 0 0 0 0 0 0
ENSMUSG00000081388 0 0 0 0 0 0 0 0
ENSMUSG00000077302 0 0 0 0 0 0 0 0
ENSMUSG00000041272 669 721 135 114 28 18 1 1
ENSMUSG00000086052 0 0 0 0 0 0 0 0
ENSMUSG00000083023 0 0 0 0 0 0 0 0
ENSMUSG00000086070 2 0 0 0 0 0 1 0
ENSMUSG00000085630 0 0 0 0 0 0 0 0
ENSMUSG00000082024 0 0 0 0 0 0 0 0
ENSMUSG00000089167 0 0 0 0 0 0 0 0
ENSMUSG00000083068 0 0 0 0 0 0 0 0
ENSMUSG00000041261 11 15 0 10 0 2 0 0
ENSMUSG00000079993 0 0 0 0 0 0 0 0
ENSMUSG00000092993 0 0 0 0 0 0 0 0
ENSMUSG00000082151 1 2 2 1 0 0 0 0
ENSMUSG00000047187 4057 3677 4356 3975 91 88 75 116
ENSMUSG00000082122 12 15 28 20 0 1 0 0
ENSMUSG00000041235 564 568 2510 3320 25 13 100 129
ENSMUSG00000083786 0 0 0 0 0 0 0 0
ENSMUSG00000075958 0 0 0 0 0 0 0 0
ENSMUSG00000091467 0 0 0 0 0 0 0 0
ENSMUSG00000041216 0 0 0 0 0 0 0 0
ENSMUSG00000086233 0 0 0 0 0 0 0 0
ENSMUSG00000087564 0 0 0 0 0 0 0 0
ENSMUSG00000028207 2385 2401 6872 8458 82 69 219 311
ENSMUSG00000092724 0 0 0 0 0 0 0 0
ENSMUSG00000064698 0 0 0 8 0 0 0 0
ENSMUSG00000085558 25 10 61 189 2 1 2 6
ENSMUSG00000051279 0 0 0 0 0 0 0 0
ENSMUSG00000082843 0 0 0 0 0 0 0 0
ENSMUSG00000090384 0 0 0 0 0 0 0 0
ENSMUSG00000084095 0 0 0 0 0 0 0 0
ENSMUSG00000082501 0 0 0 0 0 0 0 0
ENSMUSG00000084215 453 277 442 354 18 9 11 10
ENSMUSG00000086080 0 0 0 0 0 0 0 0
ENSMUSG00000086455 0 0 0 0 0 0 0 0
ENSMUSG00000081361 0 0 0 0 0 0 0 0
ENSMUSG00000083997 0 0 0 0 0 0 0 0
ENSMUSG00000092880 0 0 0 0 0 0 0 0
ENSMUSG00000066315 2021 1308 1496 1075 32 29 34 41
ENSMUSG00000083220 4 1 5 1 0 0 0 0
ENSMUSG00000059482 653 701 494 462 9 6 4 13
ENSMUSG00000081715 1900 1739 1890 1714 14 17 22 19
ENSMUSG00000049969 1861 1764 1920 1749 38 31 38 35
ENSMUSG00000050323 543 373 369 353 17 9 6 13
ENSMUSG00000086765 16 20 8 22 0 0 0 0
ENSMUSG00000083025 0 0 0 1 0 0 0 0
ENSMUSG00000081490 0 15 0 0 0 0 0 0
ENSMUSG00000028211 2177 5098 3542 6245 76 117 73 127
ENSMUSG00000028212 1051 846 1005 739 15 16 13 21
ENSMUSG00000040738 1601 1989 1620 1976 31 46 41 62
ENSMUSG00000045205 1607 1921 1586 2015 35 33 31 37
ENSMUSG00000089185 4 19 0 8 0 0 1 0
ENSMUSG00000086492 0 0 17 4 1 0 0 0
ENSMUSG00000040728 0 0 0 0 0 0 0 0
ENSMUSG00000081884 40 117 60 86 5 3 1 6
ENSMUSG00000067549 0 0 0 0 0 0 0 0
ENSMUSG00000082255 0 0 0 0 0 0 0 0
ENSMUSG00000040720 3848 4129 3412 4564 88 87 97 134
ENSMUSG00000086625 2 1 14 1 1 4 0 0
ENSMUSG00000078773 778 1147 788 932 16 19 17 29
ENSMUSG00000066307 218 270 294 269 1 1 4 6
ENSMUSG00000086103 79 48 88 101 0 3 4 1
ENSMUSG00000084046 0 0 0 0 0 0 0 0
ENSMUSG00000028214 284 336 757 895 4 10 19 24
ENSMUSG00000028217 744 725 1183 1151 103 37 40 50
ENSMUSG00000084518 0 0 0 0 0 0 0 0
ENSMUSG00000080359 0 0 0 0 0 0 0 0
ENSMUSG00000049225 1032 791 758 679 44 21 18 18
ENSMUSG00000085614 50 71 53 43 2 2 3 4
ENSMUSG00000073995 4 3 7 4 1 1 0 0
ENSMUSG00000090438 0 0 0 0 0 0 0 0
ENSMUSG00000085027 0 0 0 0 0 0 0 0
ENSMUSG00000085467 9 0 0 0 0 0 0 0
ENSMUSG00000049488 438 528 451 446 13 16 14 20
ENSMUSG00000052137 614 864 739 580 14 11 13 16
ENSMUSG00000083246 9 7 22 4 0 4 1 0
ENSMUSG00000081593 13 6 22 0 1 1 1 0
ENSMUSG00000082676 0 0 0 8 0 0 0 0
ENSMUSG00000046667 298 300 290 439 9 3 8 15
ENSMUSG00000028218 909 1040 853 1010 12 12 15 21
ENSMUSG00000060989 709 693 707 787 9 17 10 14
ENSMUSG00000085909 0 0 0 0 0 0 0 0
ENSMUSG00000065823 0 0 0 0 0 0 0 0
ENSMUSG00000055963 49 72 55 67 1 0 2 1
ENSMUSG00000086227 0 0 0 0 0 0 0 0
ENSMUSG00000080663 0 0 0 0 0 0 0 0
ENSMUSG00000081327 0 0 0 0 0 0 0 0
ENSMUSG00000083328 171 129 171 130 5 9 4 3
ENSMUSG00000081063 0 0 0 0 0 0 0 0
ENSMUSG00000092795 0 0 0 0 0 0 0 0
ENSMUSG00000006586 36 101 30 0 1 5 3 1
ENSMUSG00000086927 0 0 0 0 0 0 0 0
ENSMUSG00000077701 0 0 0 0 0 0 0 0
ENSMUSG00000082128 37 38 23 18 0 0 0 0
ENSMUSG00000086068 0 0 0 0 0 0 0 0
ENSMUSG00000087919 0 0 0 0 0 0 0 0
ENSMUSG00000081239 12 7 8 14 0 1 0 0
ENSMUSG00000040569 8 1 0 0 0 0 0 1
ENSMUSG00000023151 0 0 0 0 0 0 0 0
ENSMUSG00000083280 33 23 45 24 1 0 1 1
ENSMUSG00000040550 1576 1309 1277 878 21 17 23 23
ENSMUSG00000028221 1469 1576 1495 1264 40 25 23 24
ENSMUSG00000086587 94 52 15 7 0 0 0 0
ENSMUSG00000040536 0 0 0 0 0 0 0 0
ENSMUSG00000087241 0 0 0 0 0 0 0 0
ENSMUSG00000083073 0 0 0 0 0 0 0 0
ENSMUSG00000043252 2643 2598 2409 2762 70 91 56 71
ENSMUSG00000070270 0 0 0 0 0 0 0 0
ENSMUSG00000080869 1 0 0 2 0 0 0 0
ENSMUSG00000083330 0 0 0 0 0 0 0 0
ENSMUSG00000082673 0 0 0 0 0 0 0 0
ENSMUSG00000084181 0 0 0 0 0 0 0 0
ENSMUSG00000081026 0 0 0 0 0 0 0 0
ENSMUSG00000080470 0 0 0 0 0 0 0 0
ENSMUSG00000028222 0 0 0 9 0 0 0 0
ENSMUSG00000088055 0 0 0 0 0 0 0 0
ENSMUSG00000028223 2018 1744 1675 1689 37 22 16 33
ENSMUSG00000028224 1574 1640 1272 1030 16 17 25 29
ENSMUSG00000084190 0 0 0 1 0 0 1 0
ENSMUSG00000041153 659 870 599 689 15 14 16 17
ENSMUSG00000084408 9 31 35 32 0 2 0 5
ENSMUSG00000088612 0 0 0 0 0 0 0 0
ENSMUSG00000081679 0 1 0 0 0 0 0 0
ENSMUSG00000041135 448 480 443 403 8 6 12 21
ENSMUSG00000092822 0 0 6 0 0 0 0 0
ENSMUSG00000085112 20 57 40 16 0 1 2 2
ENSMUSG00000083725 60 94 96 34 1 2 1 4
ENSMUSG00000083095 0 0 0 0 0 0 0 0
ENSMUSG00000080065 0 0 0 0 0 0 0 0
ENSMUSG00000086072 0 0 0 0 0 0 0 0
ENSMUSG00000064657 0 0 0 0 0 0 1 0
ENSMUSG00000083229 0 0 0 0 0 0 0 0
ENSMUSG00000064619 0 0 0 0 0 0 0 0
ENSMUSG00000082994 0 0 0 0 0 0 0 0
ENSMUSG00000082552 0 0 0 0 0 0 0 0
ENSMUSG00000083572 0 0 0 0 0 0 0 0
ENSMUSG00000089218 0 0 0 0 0 0 0 0
ENSMUSG00000085478 0 0 0 0 0 0 0 0
ENSMUSG00000028226 43 12 9 2 0 1 1 1
ENSMUSG00000083387 0 0 0 0 0 0 0 0
ENSMUSG00000083150 0 0 0 0 0 0 0 0
ENSMUSG00000087402 0 0 0 0 0 0 0 0
ENSMUSG00000080919 0 0 0 0 0 0 0 0
ENSMUSG00000083660 0 0 0 0 0 0 0 0
ENSMUSG00000089578 0 0 0 0 0 0 0 0
ENSMUSG00000088500 0 0 0 0 0 0 0 0
ENSMUSG00000050550 814 684 794 835 20 12 14 16
ENSMUSG00000073991 0 0 0 0 0 0 0 0
ENSMUSG00000083005 0 0 0 0 0 0 0 0
ENSMUSG00000083105 0 0 0 0 0 0 0 0
ENSMUSG00000056494 0 0 0 0 0 0 0 0
ENSMUSG00000082320 1 0 13 1 0 0 0 0
ENSMUSG00000089090 0 0 0 0 0 0 0 0
ENSMUSG00000028228 4026 4423 4419 5517 78 78 93 89
ENSMUSG00000028229 341 299 343 362 4 5 6 4
ENSMUSG00000078772 3 0 0 4 0 0 1 1
ENSMUSG00000041058 1164 1317 783 1125 40 25 35 36
ENSMUSG00000086071 0 0 0 0 0 0 0 0
ENSMUSG00000041052 2 0 0 0 0 0 0 0
ENSMUSG00000028238 0 0 0 1 0 0 0 0
ENSMUSG00000086332 0 0 0 0 0 0 0 0
ENSMUSG00000073988 457 484 166 308 9 12 2 5
ENSMUSG00000090934 0 14 0 0 0 0 0 0
ENSMUSG00000073987 884 817 1077 657 17 8 19 9
ENSMUSG00000055761 0 0 0 0 0 0 0 0
ENSMUSG00000086017 0 0 0 0 0 0 0 0
ENSMUSG00000081964 0 0 0 0 0 0 0 0
ENSMUSG00000083315 0 0 0 0 0 0 0 0
ENSMUSG00000088073 0 0 0 0 0 0 0 0
ENSMUSG00000089322 0 0 0 0 0 0 0 0
ENSMUSG00000083654 0 0 0 0 0 0 0 0
ENSMUSG00000082672 0 0 0 0 0 0 0 0
ENSMUSG00000040478 0 0 0 0 0 0 0 0
ENSMUSG00000028252 1010 761 794 809 18 14 10 16
ENSMUSG00000028251 139 87 188 138 7 1 3 2
ENSMUSG00000040455 1073 1264 1138 1302 18 10 21 32
ENSMUSG00000028248 7685 10659 6920 11380 121 183 107 264
ENSMUSG00000028247 612 490 584 431 7 12 5 14
ENSMUSG00000028246 72 69 0 0 1 3 0 1
ENSMUSG00000080997 0 0 0 0 0 0 0 0
ENSMUSG00000082490 0 0 0 0 0 0 0 0
ENSMUSG00000083376 0 0 0 0 0 0 0 0
ENSMUSG00000040410 583 509 751 581 16 10 19 11
ENSMUSG00000077561 2 0 10 0 0 0 0 0
ENSMUSG00000052621 0 0 0 0 0 0 0 0
ENSMUSG00000081810 149 92 99 95 3 1 0 1
ENSMUSG00000083514 0 0 0 0 0 0 0 0
ENSMUSG00000080762 0 0 0 0 0 0 0 0
ENSMUSG00000083479 0 0 0 0 0 0 0 0
ENSMUSG00000088809 0 0 0 0 0 0 0 0
ENSMUSG00000028244 0 0 0 0 0 0 0 0
ENSMUSG00000087098 0 0 0 0 0 0 0 0
ENSMUSG00000081997 0 0 0 0 0 0 0 0
ENSMUSG00000083727 0 0 0 0 0 0 0 0
ENSMUSG00000083785 0 0 0 0 0 0 0 0
ENSMUSG00000082876 420 373 373 435 16 13 16 12
ENSMUSG00000089323 0 0 0 0 0 0 0 0
ENSMUSG00000084179 0 0 0 0 0 0 0 0
ENSMUSG00000083154 0 0 0 0 0 0 0 0
ENSMUSG00000081148 0 0 0 0 0 0 0 0
ENSMUSG00000045751 2492 2470 2436 2153 58 63 64 85
ENSMUSG00000040387 7 21 9 18 1 2 3 1
ENSMUSG00000077873 0 0 0 0 0 0 0 0
ENSMUSG00000087399 2 0 0 0 0 0 0 0
ENSMUSG00000028261 1316 1055 942 824 24 8 16 15
ENSMUSG00000046219 0 7 0 0 0 0 0 0
ENSMUSG00000040372 12 25 0 0 3 0 0 0
ENSMUSG00000085885 0 5 0 0 0 0 1 1
ENSMUSG00000083400 0 0 0 0 0 0 0 0
ENSMUSG00000028259 0 0 0 0 0 0 0 0
ENSMUSG00000040359 1369 1652 1138 1546 35 32 28 32
ENSMUSG00000083737 2 6 1 1 0 0 0 0
ENSMUSG00000081786 0 0 0 0 0 0 0 0
ENSMUSG00000082451 0 0 0 0 0 0 0 0
ENSMUSG00000089327 0 0 0 0 0 0 0 0
ENSMUSG00000081369 1 0 0 0 0 0 0 0
ENSMUSG00000081789 1 1 1 1 0 0 0 0
ENSMUSG00000065040 0 0 0 0 0 0 0 0
ENSMUSG00000055373 0 0 0 0 0 0 0 0
ENSMUSG00000078766 0 0 0 0 0 0 0 0
ENSMUSG00000065048 0 0 0 0 0 0 0 0
ENSMUSG00000083835 0 0 0 0 0 0 0 0
ENSMUSG00000076977 0 0 0 0 0 0 0 0
ENSMUSG00000084018 1 0 0 0 0 0 0 0
ENSMUSG00000088547 0 0 0 0 0 0 0 0
ENSMUSG00000040520 919 1335 694 953 20 18 13 26
ENSMUSG00000066252 0 0 0 0 0 0 0 0
ENSMUSG00000082573 0 0 0 0 0 0 0 0
ENSMUSG00000081985 2 7 9 2 0 1 0 0
ENSMUSG00000082138 0 0 0 0 0 0 0 0
ENSMUSG00000086257 0 0 0 0 0 0 0 0
ENSMUSG00000083447 0 0 0 0 0 0 0 0
ENSMUSG00000080958 2 0 1 11 0 0 0 0
ENSMUSG00000084163 0 0 0 0 0 0 0 0
ENSMUSG00000065209 0 0 0 0 0 0 0 0
ENSMUSG00000082674 375 410 321 358 1 8 6 8
ENSMUSG00000080175 0 0 0 0 0 0 0 0
ENSMUSG00000082977 0 0 0 0 0 0 0 0
ENSMUSG00000082703 0 0 0 0 0 0 0 0
ENSMUSG00000077521 0 0 0 0 0 0 0 0
ENSMUSG00000082359 0 0 0 0 0 0 0 0
ENSMUSG00000081579 0 0 0 0 0 0 0 0
ENSMUSG00000084073 0 0 0 0 0 0 0 0
ENSMUSG00000083214 0 0 0 0 0 0 0 0
ENSMUSG00000081011 0 0 0 0 0 0 0 0
ENSMUSG00000028289 369 297 74 130 9 6 5 4
ENSMUSG00000086774 7 2 0 0 0 0 0 0
ENSMUSG00000087316 0 0 0 0 0 0 0 0
ENSMUSG00000086339 0 0 0 0 0 0 0 0
ENSMUSG00000080911 0 0 0 0 0 0 0 0
ENSMUSG00000082486 0 0 0 0 0 0 0 0
ENSMUSG00000082058 0 0 0 0 0 0 0 0
ENSMUSG00000080771 0 0 0 0 0 0 0 0
ENSMUSG00000087180 0 0 0 0 0 0 0 0
ENSMUSG00000085522 0 0 0 0 0 0 0 0
